RequestID	OriginPort	DestinationPort	EarliestDepartureTime	LatestArrivalTime	Demand	PenaltyCost
1	A	B	1	15	24.0	773.0
2	A	B	8	22	16.0	610.0
3	A	B	15	29	23.0	861.0
4	A	B	22	36	17.0	610.0
5	A	B	29	43	19.0	813.0
6	A	B	36	50	28.0	674.0
7	A	B	43	57	24.0	654.0
8	A	B	50	64	13.0	737.0
27	A	C	1	16	14.0	830.0
28	A	C	8	23	13.0	734.0
29	A	C	15	30	25.0	728.0
30	A	C	22	37	21.0	801.0
31	A	C	29	44	10.0	643.0
32	A	C	36	51	26.0	667.0
33	A	C	43	58	29.0	785.0
34	A	C	50	65	19.0	616.0
53	A	D	1	22	118.0	2128.0
54	A	D	8	29	109.0	1947.0
55	A	D	15	36	100.0	1973.0
56	A	D	22	43	103.0	1989.0
57	A	D	29	50	104.0	2130.0
58	A	D	36	57	94.0	2133.0
59	A	D	43	64	103.0	1912.0
79	A	E	1	24	95.0	1871.0
80	A	E	8	31	115.0	1994.0
81	A	E	15	38	102.0	2053.0
82	A	E	22	45	110.0	1926.0
83	A	E	29	52	107.0	1948.0
84	A	E	36	59	116.0	2122.0
85	A	E	43	66	108.0	1949.0
105	A	F	1	25	110.0	2163.0
106	A	F	8	32	95.0	2123.0
107	A	F	15	39	108.0	1985.0
108	A	F	22	46	99.0	2015.0
109	A	F	29	53	109.0	1850.0
110	A	F	36	60	104.0	1810.0
111	A	F	43	67	91.0	1993.0
131	A	G	1	29	109.0	1958.0
132	A	G	8	36	118.0	1953.0
133	A	G	15	43	109.0	2108.0
134	A	G	22	50	116.0	2039.0
135	A	G	29	57	119.0	1830.0
136	A	G	36	64	113.0	1911.0
157	A	H	1	51	116.0	1949.0
158	A	H	8	58	102.0	1932.0
159	A	H	15	65	99.0	1977.0
183	A	I	1	35	21.0	4990.0
184	A	I	8	42	23.0	5110.0
185	A	I	15	49	22.0	3685.0
186	A	I	22	56	20.0	4596.0
187	A	I	29	63	25.0	5434.0
